,col,Shrt_Desc,NDB_No,df_index
0,"Milk, whole fresh cow","MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",1211,179
1,"Meat, cattle","BEEF,GRASS-FED,GROUND,RAW",13047,3748
2,"Milk, whole fresh camel","MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",1211,179
3,"Milk, whole fresh goat","MILK,GOAT,FLUID,W/ ADDED VITAMIN D",1106,94
4,"Meat, goat","GOAT,RAW",17168,5266
5,"Milk, whole fresh sheep","MILK,SHEEP,FLUID",1109,97
6,"Rice, paddy","RICE,WHITE,LONG-GRAIN,REG,RAW,ENR",20044,6510
7,"Eggs, hen, in shell","EGG,WHL,RAW,FRSH",1123,111
8,"Meat, chicken","CHICKEN,BROILERS OR FRYERS,MEAT & SKN,RAW",5006,828
9,"Meat, buffalo","GAME MEAT,BUFFALO,H2O,RAW",17160,5258
10,"Meat, pig","PORK,FRESH,GROUND,RAW",10219,2666
11,"Milk, whole fresh buffalo","MILK,INDIAN BUFFALO,FLUID",1108,96
12,Cereals excluding rice,"CORN GRAIN,YEL",20014,6484
13,"Meat, sheep","LAMB,GROUND,RAW",17224,5322
